zip,place,total_pop,cases,deaths,note
28692,Vilas,4504,57,0,
28693,Warrensville,1693,17,0,
28694,West Jefferson,8033,89,0,
28697,Wilkesboro,13376,331,16,
28698,Zionville,1844,38,0,
28701,Alexander,4830,28,0,
28702,Almond,704,3,0,
28704,Arden,21728,382,0,
28705,Bakersville,7168,60,0,
28708,Balsam Grove,1340,2,0,
28709,Barnardsville,2308,5,0,
28711,Black Mountain,15250,122,9,
28712,Brevard,19644,224,8,
28713,Bryson City,9333,56,1,
28714,Burnsville,17066,184,0,
28715,Candler,27289,336,4,
28716,Canton,18650,267,28,
28717,Cashiers,1471,50,1,
28718,Cedar Mountain,607,5,0,
28719,Cherokee,6945,120,3,
28720,Chimney Rock,35,,,Population <500 and Cases <5
28721,Clyde,10866,100,0,
28722,Columbus,6854,116,2,
28723,Cullowhee,11678,239,0,
28725,Dillsboro,36,,,Population <500 and Cases <5
28726,East Flat Rock,3477,103,2,
28729,Etowah,2978,22,0,
28730,Fairview,10068,64,1,
28731,Flat Rock,9271,222,7,
28732,Fletcher,18899,169,0,
28733,Fontana Dam,200,,,Population <500 and Cases <5
28734,Franklin,28423,490,1,
28735,Gerton,294,,,Population <500 and Cases <5
28736,Glenville,740,13,0,
28739,Hendersonville,21994,203,3,
28740,Green Mountain,2123,25,0,
28741,Highlands,3135,82,0,
28742,Horse Shoe,2834,27,0,
28743,Hot Springs,2422,11,0,
28745,Lake Junaluska,598,11,0,
28746,Lake Lure,2583,42,0,
28747,Lake Toxaway,2517,10,1,
28748,Leicester,12684,110,4,
28749,Little Switzerland,0,,,Population <500 and Cases <5
28751,Maggie Valley,3738,35,0,
28752,Marion,31501,757,17,
28753,Marshall,12286,53,0,
28754,Mars Hill,8823,58,1,
28756,Mill Spring,4770,70,0,
28757,Montreat,0,9,0,
28759,Mills River,7867,99,1,
28761,Nebo,8493,190,8,
28762,Old Fort,7603,107,1,
28763,Otto,2864,31,0,
28766,Penrose,1526,4,0,
28768,Pisgah Forest,7895,79,0,
28771,Robbinsville,8212,173,5,
28772,Rosman,1942,2,0,
28773,Saluda,3508,63,4,
28774,Sapphire,1569,19,0,
28775,Scaly Mountain,493,7,1,
28777,Spruce Pine,10391,296,3,
28778,Swannanoa,10803,121,1,
28779,Sylva,17610,205,2,
28781,Topton,957,7,0,
28782,Tryon,6512,85,5,
28783,Tuckasegee,1905,32,2,
28785,Waynesville,8309,46,0,
28786,Waynesville,21837,158,1,
28787,Weaverville,20681,225,0,
28789,Whittier,6551,57,1,
28790,Zirconia,3775,38,0,
28791,Hendersonville,15811,245,10,
